Number of queries,Time (s)
4976,1.935185194
7695,2.586675167
24916,6.844873905
34310,9.430026054
42749,11.93991494
77654,21.702039
150120,39.69320512
153564,40.80081081
160499,43.05971575
184579,48.84590983
231092,61.45971513
391810,105.098907
408034,108.482877
486116,128.8981779
601677,161.3799198
802308,226.0807049
